PLZ4;Distanz v. Olten
1694;117.322
1694;117.322
1695;999.999
1695;999.999
1695;999.999
1695;999.999
1696;999.999
1697;131.694
1697;131.694
1699;137.512
1699;137.512
1699;137.512
1700;99.425
1700;92.757
1700;97.097
1712;101.785
1712;88.531
1712;97.097
1713;101.785
1713;92.452
1713;88.531
1713;97.097
1714;89.176
1714;92.452
1715;101.785
1715;92.452
1715;100.466
1716;111.887
1716;111.887
1716;146.297
1716;136.742
1716;111.887
1717;101.785
1717;100.466
1718;103.255
1718;100.466
1719;106.836
1719;111.887
1719;111.887
1720;102.348
1720;102.689
1720;102.348
1721;107.051
1721;104.689
1721;107.051
1721;107.051
1721;107.051
1722;99.425
1723;104.432
1723;106.312
1723;102.902
1724;109.455
1724;109.455
1724;115.155
1724;110.863
1724;109.455
1724;109.455
1724;112.989
1724;115.155
1724;109.455
1724;109.455
1724;110.02
1725;110.859
1725;104.432
1725;106.926
1726;999.999
1726;999.999
1726;999.999
1726;999.999
1727;999.999
1727;999.999
1728;999.999
1730;106.926
1731;112.767
1732;110.859
1733;118.563
1733;115.155
1734;110.02
1734;105.459
1735;107.201
1735;103.255
1736;110.02
1737;111.862
1738;103.474
1738;99.262
1738;111.887
1740;105.35
1741;108.103
1742;110.278
1744;111.438
1745;110.278
1745;109.633
1746;109.612
1747;111.559
1748;115.543
1749;115.543
1752;100.297
1753;102.348
1753;103.785
1754;105.394
1754;109.612
1754;105.394
1756;109.633
1756;109.633
1757;107.549
1757;109.612
1762;99.699
1763;97.471
1772;999.999
1772;106.069
1772;108.277
1772;108.277
1773;999.999
1773;999.999
1773;999.999
1774;113.654
1774;113.654
1775;113.654
1775;113.654
1776;113.654
1776;999.999
1782;102.689
1782;102.689
1782;99.157
1782;99.157
1782;99.157
1782;99.157
1783;101.296
1783;101.296
1784;101.296
1784;101.296
1785;97.833
1786;999.999
1787;999.999
1787;999.999
1787;109.199
1788;999.999
1789;999.999
1791;101.296
1792;97.435
1792;97.435
1793;94.538
1794;94.538
1795;101.296
1795;94.538
1796;96.648
1797;96.195
1800;150.547
1801;151.735
1802;151.87
1803;151.735
1803;147.521
1804;149.11
1804;147.521
1805;151.735
1805;149.11
1805;147.521
1806;149.271
1807;149.821
1807;153.445
1808;148.122
1808;149.11
1809;149.11
1814;150.857
1815;153.445
1816;149.821
1816;153.445
1817;153.445
1820;153.445
1820;153.445
1820;160.333
1822;153.445
1823;153.445
1824;153.445
1832;153.445
1832;153.445
1833;153.445
1844;162.484
1845;162.981
1846;164.742
1847;162.036
1852;162.78
1852;168.823
1853;168.823
1854;186.076
1856;175.517
1856;189.546
1860;169.712
1862;189.546
1862;189.546
1863;169.712
1863;189.546
1864;190.015
1865;190.015
1866;180.011
1866;189.546
1866;190.015
1867;180.011
1867;180.011
1867;180.011
1868;174.558
1869;178.644
1870;180.033
1871;180.033
1871;180.033
1871;178.644
1872;174.558
1872;180.401
1873;187.28
1873;187.28
1873;187.28
1874;189.189
1875;180.401
1880;179.005
1880;180.011
1880;179.005
1880;187.219
1880;179.005
1880;179.005
1880;179.005
1880;187.219
1882;179.005
1882;187.219
1884;180.011
1884;180.011
1884;180.011
1885;180.011
1890;183.919
1890;183.919
1891;178.644
1891;184.627
1892;180.684
1892;180.684
1892;180.684
1893;174.558
1895;171.997
1896;168.732
1896;168.732
1897;169.123
1897;169.123
1898;173.923
1899;171.997
1902;186.081
1902;183.919
1903;186.954
1904;196.027
1904;190.674
1905;189.313
1906;200.103
1906;196.027
1907;203.509
1908;212.086
1908;212.928
1911;210.453
1911;212.086
1912;210.453
1912;210.453
1912;210.453
1912;210.453
1913;205.549
1914;218.112
1914;212.928
1918;212.928
1920;196.027
1920;190.674
1921;203.787
1922;202.984
1922;202.984
1923;202.984
1923;202.984
1925;219.23
1925;219.23
1926;199.25
1927;211.432
1927;203.486
1927;196.027
1928;203.787
1929;215.716
1932;203.486
1932;203.486
1933;209.756
1933;211.432
1933;211.432
1933;209.756
1933;209.756
1934;220.318
1934;220.318
1936;220.318
1937;218.251
1938;218.251
1941;211.432
1941;211.432
1942;211.432
1943;218.251
1944;218.251
1945;222.917
1945;222.917
1945;222.917
1945;222.917
1945;222.917
1945;222.917
1945;222.917
1945;222.917
1945;222.917
1945;222.917
1945;222.917
1945;222.917
1946;235.328
1947;220.318
1947;220.318
1948;220.318
1948;220.318
1948;220.318
1950;226.977
1950;226.076
1950;221.14
1955;212.086
1955;212.086
1955;212.086
1955;212.086
1955;212.086
1957;211.824
1958;226.207
1958;234.595
1958;231.216
1958;221.14
1961;232.96
1962;226.076
1962;221.14
1963;216.075
1964;217.35
1965;226.076
1965;221.14
1966;231.216
1966;231.216
1966;231.216
1966;231.216
1966;231.216
1966;231.216
1966;231.216
1966;231.216
1966;231.216
1966;231.216
1967;221.14
1968;232.96
1969;239.289
1969;239.289
1969;239.289
1969;239.289
1969;239.289
1971;226.977
1971;221.14
1971;226.977
1971;221.14
1972;231.216
1972;232.865
1973;232.96
1974;232.865
1975;217.35
1976;217.35
